and [ənd]	и
foot [tʊt]	n фут (= 30,48 см)
full [fʊl]	а полный
glass [ɡlɑ:s]	n стекло
heat [hi:t]	v нагрeвать(cя); n теплота, жар, нагрев
height [hаɪt]	n высота
hot [hɒt]	а горячий
if [ɪf]	cj если
incandescent [,ɪnkæn'desnt]	a накаленный;
incandescent lamp	лампа накаливания
inch [ɪnʧ]	n дюйм (=2,54 см)
level ['levl]	n уровень; а плоский, горизонтальный
necessary ['nesəsərɪ]	а необходимый
per [pɜ:]	prep за, на, в
pipe [paɪp]	n труба, трубка
pound [paʊnd]	n фунт (англ. фунт - 453.6 г)
press [pres]	удавить; n давка; пpecc; пpecca, печать
pressure ['preʃə]	n давление
remember [rɪ'membə]	v помнить
since [sɪns]	cj так как, поскольку; prep с, после; adv с тех пор
spot [spɒt]	n место; пятно
surface ['sɜ:fɪs]	n поверхность
thus [ðʌs]	adv таким образом, так
vary [veərɪ]	v мeнять(cя), разниться;
various [veərɪəs]	a различный, разнообразный
volume [vɒlju:m]	n емкость; объем; том (книги)
weigh [weɪ]	v взвeшивать(cя); весить
weight [weɪt]	n вес; тяжесть
accident ['æksɪdənt]	n (несчастный) случай, авария
airman ['eəmæn]	n летчик
airmen ['eəmen]	летчики
airplane ['eəpleɪn]	n самолет
although [ɔ:l'ðəʊ]	adv xoтя; несмотря на то, что
around [ə'raʊnd]	adv всюду, кругом; prep вокруг, около
bottle ['bɒtl]	n бутылка
car [kɑ:]	n повозка; вагон; автомобиль
change [ʧeɪnʤ]	v мeнять(cя); n перемена
cup [kʌp]	n чашка
drop [drɒp]	v ронять, бросать, падать e
empty ['emptɪ]	а пустой
engine ['enʤɪn]	n машина, двигатель, мотор
face [feɪs]	n лицо
fire ['faɪə]	n огонь
catch fire	загореться
happen ['hæpən]	v случаться
heavy ['hevɪ]	а тяжелый
hold [həʊld], held [held], held	v держать
jump [ʤʌmp]	v прыгать; n прыжок
life [laɪf] (мн. ч. lives [laɪvz])	n жизнь
lift [lɪft]	v поднимать
motor-car	n автомобиль
nose [nəʊz]	n нoc
paper ['peɪpə]	n бумага
parachute ['pærəʃu:t]	n парашют
pull [pʊl]	v тянуть, тащить, дергать
push [pʊʃ]	v толкать
quickly ['kwɪklɪ]	adv быстро, скоро
reach [ri:ʧ]	v достигать
rise [raɪz], rose [rəʊz], risen ['rɪzn]	v подниматься
run [rʌn], ran [ræn], run	v бежать, двигаться
start [stɑ:t]	v начинать, стартовать, пycкaть(cя)
stone [stəʊn]	n камень
stop [stɒp]	v останавливaть(-cя), удерживать
strength [streŋθ]	n сила
such [sʌʧ]	а такой
useful ['ju:sfʊl]	а полезный
wheel [wi:l]	n колесо
without [wɪð'aʊt]	prep без
wood [wʊd]	n дерево (материал); лес
application [æplɪ'keɪʃn]	n применение, использование
arithmetic [ə'rɪθmətɪk]	n арифметика; а арифметический
array [ə'reɪ]	n множество
attach [ə'tæʧ]	v прикреплять, присоединять
board [bɔ:d]	n доска; плата
break [breɪk], broke [brəʊk], broken [brəʊkn]	v ломать, разрушать; разбивать
cabinet ['kæbɪnɪt]	n футляр; упаковка; ящик
carry ['kærɪ]; carry out	v носить, возить; осуществлять, проводить
cathode ['kæθəʊd]	n катод
circuit ['sɜ:kɪt]	n цепь; сеть; контур
collectively [kə'lektɪvlɪ]	adv совместно
communicate [kə'mju:nɪkeɪt]	v передавать, сообщать
computer [kəm'pju:tə]	n компьютер, ЭВМ
personal computer	персональный компьютер
conductor [kən'dʌktə]	n проводник
constitute ['kɒnstɪtju:t]	v составлять
convert [kən'vɜ:t]	n превращать
core [kɔ:]	n сердцевина, ядро, суть, сущность
device [dɪ'vaɪs]	n устройство, приспособление
digital ['dɪʤɪtəl]	а цифровой
display [dɪs'pleɪ]	v показывать, демонстрировать
edit ['edɪt]	v редактировать
enable [ɪn'eɪbl]	v позволять, делать возможным
enclose [ɪn'kləʊz]	v заключать, вставлять, вкладывать
enter ['entə]	v входить; поступать
entire [ɪn'taɪə]	а полный, целый, весь
equation [ɪ'kweɪʃn]	n уравнение
flow [fləʊ]	n поток
function ['fʌŋkʃn]	n функция
govern ['ɡʌvən]	v управлять
hardware ['hɑ:dweə]	n механическая часть компьютера
heart [hɑ:t]	n сердце; сердцевина, основа
human ['hju:mən]	а человеческий
input ['ɪnput]	n ввод (информации в компьютер)
instance ['ɪnstəns]	n случай
interconnect [,ɪntəkə'nekt]	v соединять, связывать
itself; by itself [bаɪ ɪt'self]	сама по себе
keyboard ['ki:bɔ:d]	n клавиатура
machine [mə'ʃi:n]	n машина; механизм, устройство
magnetic [məɡ'netɪk]	а магнитный
manage ['mæmʤ]	v руководить, управлять, заведовать, стоять во главе
manipulate [mə'nɪpju:leɪt]	v манипулировать; (умело) обращаться, управлять
means [mi:nz]	n (употр. как форма ед. имн. числа) способ, средство;
by means of	при помощи, посредством
mediate ['mi:dɪeɪt]	v быть посредником, связующим звеном
memory ['memərɪ]	n память
mount [mаʊnt]	v устанавливать, монтировать
nothing ['nʌθɪŋ]	pron ничто, ничего
ordinary ['ɔ:dɪnrɪ]	а обыкновенный, обычный
output ['aʊtpʊt]	n вывод (информации)
own [əʊn]	а свой, собственный
perform [pə'fɔ:m]	v осуществлять; исполнять, выполнять
power ['paʊə]	n энергия
primary ['praɪmərɪ]	а первичный
printed pattern	печатная схема
quarter ['kwɔ:tə]	n четверть
ray [reɪ]	n луч
receive [rɪ'si:v]	v получать
require [rɪ'kwaɪə]	v требовать; нуждаться (в чем-л.)
screen [skri:n]	n экран; монитор
second ['sekənd]	n секунда
secondary ['sekəndərɪ]	a вторичный
several ['sevrəl]	а несколько
silicon ['sɪlɪkən]	n кремний
single ['sɪŋɡl]	а единственный, один; отдельный
software ['sɒftweə]	n программное обеспечение компьютера
solve [sɒlʊ]	v решать (задачу и т.п.)
specific [spɪ'sɪfɪk]	а специальный, конкретный
storage ['stɒrɪʤ]	n склад, хранилище; накопитель, запоминающее устройство, память
store [stɔ:]	v хранить, сохранять; запасать
supervise ['sju:pəvаɪz]	v наблюдать; заведовать; управлять
supply [sə'plаɪ]	v снабжать, обеспечивать
tape [teɪp]	n лента
task [tɑ:sk]	n задача, задание
transfer [træns'fɜ:]	v передавать; переносить, переводить
tube [tju:b]	n труба; трубка
unit ['ju:nɪt]	n единица (измерения); установка, аппарат, прибор, устройство
above [əbʌv]	adv наверху, выше, наверх; prep над, свыше
across [ə'krɒs]	adv поперек; prep сквозь, через
afraid [ə'freɪd]	а испуганный
to be afraid	бояться
another [ə'nʌðə]	a, pron другой
away [ə'weɪ]	adv прочь; вдаль (см. пояснения к словам)
below [bɪ'ləʊ]	prep ниже, под; adv ниже, внизу
burn [bɜ:n], burnt [bɜ:nt] или burned [bɜ:nd]	v гореть, жечь
camera ['kæmərə]	n фотоаппарат
class [klɑ:s]	n класс;
first-class	а первоклассный
cloud [klaʊd]	n облако
coat [kəʊt]	n пальто; пиджак, жакет; покров
crater ['kreɪtə]	n кpaтep
distance ['dɪstəns]	n расстояние
disturb [dɪs'tɜ:b]	v нарушать, беспокоить, расстраивать
disturbance [dɪs'tɜ:bəns]	n нарушение, смещение; геол. дислокация
door [dɔ:]	n дверь
during ['djʊərɪŋ]	prep в течение, во время
equipment [ɪ'kwɪpmənt]	n оборудование
eruption [ɪ'rʌpʃn]	n извержение
formation [fɔ:'meɪʃn]	n образование, формирование
fountain ['faʊntɪn]	n фонтан
gun [ɡʌn]	n пушка; ружье; револьвер;
gun-fire	орудийный огонь
lava ['lɑ:və]	n лaвa
main [meɪn]	а главный
mineral ['mɪnərəl]	n минерал; а минеральный
mountain ['mаʊntɪn]	n гора
need [ni:d]	v нуждаться, иметь надобность; n надобность, нужда, потребность
noise [nɔɪz]	n шум
object ['ɒbʤɪkt]	n предмет, объект
picture ['pɪkʧə]	n картина, фотоснимок, изображение
reflect [rɪ'flekt]	v отражать
register ['reʤɪstə]	v регистрировать(ся), отмечать
silence ['saɪləns]	n тишина, безмолвие
sky [skaɪ]	n небо
smoke [sməʊk]	n дым; v дымить(cя), курить
soon [su:n]	adv скоро, вскоре
stand [stæпd], stood [stʊd], stood	v стоять
tongue [tʌŋ]	n язык
towards [tə'wɔ:dz]	prep к, пo направлению к; по отношению к
tremor ['tremə]	n дрожание, колебание; зд. толчок
watch [wɒʧ]	v наблюдать; n часы (карманные, наручные); вахта
weak [wi:k]	а слабый
width [wɪdθ]	n ширина
yard [jɑ:d]	n ярд (около 91 см)
automatic [,ɔ:tə'mætɪk]	а автоматический
blacken ['blækən]	v покрывать черной краской, чернить
boil [bɔɪl]	v кипятить, кипеть
boiler ['bɔɪlə]	n кипятильник, котел
century ['senʧərɪ]	n столетие
coal [kəʊl]	n yгoль
directly [dɪ'rektlɪ]	adv прямо, непосредственно
dry [drаɪ]	v сушить; а сухой
else [els]	adv еще, кроме
energy ['enəʤɪ]	n энергия
escape [ɪs'keɪp]	v убегать; n утечка
factory ['fæktərɪ]	n фабрика
form [fɔ:m]	n форма; v формироваться
fuel [fju:əl]	n горючее, топливо
gallon ['ɡælən]	n галлон (мера жидких и сыпучих тел; англ. галлон = 4,54 л)
get [get], got [ɡɒt], got	v получать, становиться
half [hɑ:f]	n (мн. ч. halves) половина
heater ['hi:tə]	n нагревательный прибор, кипятильник
hotbed ['hɒtbed]	n парник
hothouse ['hɒthaʊs]	n теплица, оранжерея
inside ['ɪnsaɪd]	prep, adv внутри, внутрь
insulating ['ɪnsjʊleɪtɪŋ]	а изоляционный
iron ['aɪən]	n железо
light [laɪt]	n свет, а светлый, легкий
method ['meθəd]	n метод
natural ['næʧrəl]	а натуральный, естественный
oil [ɔɪl]	n нефть, масло (минеральное или растительное)
popular ['pɒpjʊlə]	а популярный
possible ['pɒsəbl]	а возможный
process ['prəʊses]	n процесс
rapidly ['ræpɪdlɪ]	adv быстро, скоро
refrigerator [rɪ'frɪʤəreɪtə]	n рефрижератор, холодильник
row [rəʊ]	n ряд
rubber ['rʌbə]	n резина
simple ['sɪmpl]	а простой
solar ['səʊlə]	а солнечный
sun [sʌn]	n солнце
sunny ['sʌnɪ]	а солнечный
supply [sə'plaɪ]	n запас, снабжение; v снабжать
temperature ['temprɪʧə]	n температура
transform [træns'fɔ:m]	v переоборудовать, трансформировать, превращать
tubing ['tju:bɪŋ]	n труба, тюбинг
while [waɪl]	adv, cj в то время как, пока; несмотря на то, что; тогда как
whole [həʊl]	a целый, весь
not yet	еще не
ever	когда-либо
absolutely ['æbsəlu:tli]	adv абсолютно
accordingly [ə'kɔ:dɪŋlɪ]	adv соответственно
afterwards ['ɑ:ftəwədz]	adv потом, впоследствии
autobiography [,ɔ:təʊbаɪ'ɒɡrəfɪ]	n автобиография
bean [bi:n]	n боб
